V1	V(n001)	V(n002)	I(R1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-02	1.000000e-02	6.222449e-09	6.222449e-10
2.000000000000000e-02	2.000000e-02	1.398131e-08	1.398131e-09
3.000000000000000e-02	3.000000e-02	2.365595e-08	2.365595e-09
4.000000000000000e-02	4.000000e-02	3.571941e-08	3.571941e-09
5.000000000000000e-02	5.000000e-02	5.076154e-08	5.076154e-09
6.000000000000000e-02	6.000000e-02	6.951780e-08	6.951780e-09
7.000000000000001e-02	7.000000e-02	9.290530e-08	9.290529e-09
8.000000000000000e-02	8.000000e-02	1.220675e-07	1.220675e-08
9.000000000000000e-02	9.000000e-02	1.584304e-07	1.584304e-08
1.000000000000000e-01	1.000000e-01	2.037718e-07	2.037718e-08
1.100000000000000e-01	1.100000e-01	2.603088e-07	2.603088e-08
1.200000000000000e-01	1.200000e-01	3.308055e-07	3.308055e-08
1.300000000000000e-01	1.300000e-01	4.187089e-07	4.187088e-08
1.400000000000000e-01	1.400000e-01	5.283167e-07	5.283166e-08
1.500000000000000e-01	1.500000e-01	6.649879e-07	6.649879e-08
1.600000000000000e-01	1.600000e-01	8.354045e-07	8.354045e-08
1.700000000000000e-01	1.700000e-01	1.047898e-06	1.047898e-07
1.800000000000000e-01	1.800000e-01	1.312858e-06	1.312858e-07
1.900000000000000e-01	1.900000e-01	1.643236e-06	1.643236e-07
2.000000000000000e-01	2.000000e-01	2.055184e-06	2.055184e-07
2.100000000000000e-01	2.100000e-01	2.568839e-06	2.568839e-07
2.200000000000000e-01	2.200000e-01	3.209307e-06	3.209307e-07
2.300000000000000e-01	2.300000e-01	4.007892e-06	4.007892e-07
2.400000000000000e-01	2.400000e-01	5.003621e-06	5.003621e-07
2.500000000000000e-01	2.500000e-01	6.245150e-06	6.245149e-07
2.600000000000000e-01	2.600000e-01	7.793134e-06	7.793134e-07
2.700000000000000e-01	2.700000e-01	9.723188e-06	9.723188e-07
2.800000000000000e-01	2.800000e-01	1.212957e-05	1.212957e-06
2.900000000000000e-01	2.900000e-01	1.512974e-05	1.512974e-06
3.000000000000000e-01	3.000000e-01	1.887014e-05	1.887014e-06
3.100000000000000e-01	3.100000e-01	2.353319e-05	2.353319e-06
