V1	V(n001)	I(D2)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-02	1.000000e-02	6.222453e-10
2.000000000000000e-02	2.000000e-02	1.398132e-09
3.000000000000000e-02	3.000000e-02	2.365598e-09
4.000000000000000e-02	4.000000e-02	3.571946e-09
5.000000000000000e-02	5.000000e-02	5.076162e-09
6.000000000000000e-02	6.000000e-02	6.951795e-09
7.000000000000001e-02	7.000000e-02	9.290554e-09
8.000000000000000e-02	8.000000e-02	1.220679e-08
9.000000000000000e-02	9.000000e-02	1.584310e-08
1.000000000000000e-01	1.000000e-01	2.037729e-08
1.100000000000000e-01	1.100000e-01	2.603104e-08
1.200000000000000e-01	1.200000e-01	3.308081e-08
1.300000000000000e-01	1.300000e-01	4.187130e-08
1.400000000000000e-01	1.400000e-01	5.283231e-08
1.500000000000000e-01	1.500000e-01	6.649980e-08
1.600000000000000e-01	1.600000e-01	8.354204e-08
1.700000000000000e-01	1.700000e-01	1.047923e-07
1.800000000000000e-01	1.800000e-01	1.312897e-07
1.900000000000000e-01	1.900000e-01	1.643297e-07
2.000000000000000e-01	2.000000e-01	2.055279e-07
2.100000000000000e-01	2.100000e-01	2.568986e-07
2.200000000000000e-01	2.200000e-01	3.209536e-07
2.300000000000000e-01	2.300000e-01	4.008249e-07
2.400000000000000e-01	2.400000e-01	5.004176e-07
2.500000000000000e-01	2.500000e-01	6.246013e-07
2.600000000000000e-01	2.600000e-01	7.794478e-07
2.700000000000000e-01	2.700000e-01	9.725280e-07
2.800000000000000e-01	2.800000e-01	1.213282e-06
2.900000000000000e-01	2.900000e-01	1.513480e-06
3.000000000000000e-01	3.000000e-01	1.887801e-06
3.100000000000000e-01	3.100000e-01	2.354542e-06
3.200000000000000e-01	3.200000e-01	2.936524e-06
3.300000000000000e-01	3.300000e-01	3.662196e-06
3.400000000000000e-01	3.400000e-01	4.567031e-06
3.500000000000000e-01	3.500000e-01	5.695259e-06
3.600000000000000e-01	3.600000e-01	7.102022e-06
3.700000000000000e-01	3.700000e-01	8.856072e-06
3.800000000000000e-01	3.800000e-01	1.104312e-05
3.900000000000000e-01	3.900000e-01	1.377003e-05
4.000000000000000e-01	4.000000e-01	1.717000e-05
4.100000000000000e-01	4.100000e-01	2.140907e-05
4.200000000000000e-01	4.200000e-01	2.669423e-05
4.300000000000000e-01	4.300000e-01	3.328341e-05
4.400000000000000e-01	4.400000e-01	4.149806e-05
4.500000000000000e-01	4.500000e-01	5.173869e-05
4.600000000000000e-01	4.600000e-01	6.450425e-05
4.700000000000000e-01	4.700000e-01	8.041614e-05
4.800000000000000e-01	4.800000e-01	1.002481e-04
4.900000000000000e-01	4.900000e-01	1.249631e-04
5.000000000000000e-01	5.000000e-01	1.557594e-04
5.100000000000000e-01	5.100000e-01	1.941265e-04
5.200000000000000e-01	5.200000e-01	2.419157e-04
5.300000000000000e-01	5.300000e-01	3.014249e-04
5.400000000000000e-01	5.400000e-01	3.755042e-04
5.500000000000000e-01	5.500000e-01	4.676831e-04
5.600000000000001e-01	5.600000e-01	5.823261e-04
5.700000000000001e-01	5.700000e-01	7.248183e-04
5.800000000000000e-01	5.800000e-01	9.017875e-04
5.900000000000000e-01	5.900000e-01	1.121366e-03
6.000000000000000e-01	6.000000e-01	1.393491e-03
6.100000000000000e-01	6.100000e-01	1.730252e-03
6.200000000000000e-01	6.200000e-01	2.146263e-03
6.300000000000000e-01	6.300000e-01	2.659069e-03
6.400000000000000e-01	6.400000e-01	3.289544e-03
6.500000000000000e-01	6.500000e-01	4.062257e-03
6.600000000000000e-01	6.600000e-01	5.005751e-03
6.700000000000000e-01	6.700000e-01	6.152671e-03
