Vdd	V(vdd)	V(vin)	I(Vdd)	I(Vin)	Ib(M1)	Id(M1)	Ig(M1)	Is(M1)
Step Information: Vin=0  (Step: 1/6)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00
2.000000000000000e-02	2.000000e-02	0.000000e+00	-4.538488e-14	0.000000e+00	-2.538488e-14	4.538488e-14	0.000000e+00	-2.000000e-14
4.000000000000000e-02	4.000000e-02	0.000000e+00	-8.787007e-14	0.000000e+00	-4.787007e-14	8.787007e-14	0.000000e+00	-4.000000e-14
6.000000000000000e-02	6.000000e-02	0.000000e+00	-1.290170e-13	0.000000e+00	-6.901701e-14	1.290170e-13	0.000000e+00	-6.000000e-14
8.000000000000000e-02	8.000000e-02	0.000000e+00	-1.695463e-13	0.000000e+00	-8.954634e-14	1.695463e-13	0.000000e+00	-8.000000e-14
1.000000000000000e-01	1.000000e-01	0.000000e+00	-2.097906e-13	0.000000e+00	-1.097906e-13	2.097906e-13	0.000000e+00	-1.000000e-13
1.200000000000000e-01	1.200000e-01	0.000000e+00	-2.499034e-13	0.000000e+00	-1.299034e-13	2.499034e-13	0.000000e+00	-1.200000e-13
1.400000000000000e-01	1.400000e-01	0.000000e+00	-2.899554e-13	0.000000e+00	-1.499554e-13	2.899554e-13	0.000000e+00	-1.400000e-13
1.600000000000000e-01	1.600000e-01	0.000000e+00	-3.299794e-13	0.000000e+00	-1.699794e-13	3.299794e-13	0.000000e+00	-1.600000e-13
1.800000000000000e-01	1.800000e-01	0.000000e+00	-3.699905e-13	0.000000e+00	-1.899905e-13	3.699905e-13	0.000000e+00	-1.800000e-13
2.000000000000000e-01	2.000000e-01	0.000000e+00	-4.099956e-13	0.000000e+00	-2.099956e-13	4.099956e-13	0.000000e+00	-2.000000e-13
2.200000000000000e-01	2.200000e-01	0.000000e+00	-4.499980e-13	0.000000e+00	-2.299980e-13	4.499980e-13	0.000000e+00	-2.200000e-13
2.400000000000000e-01	2.400000e-01	0.000000e+00	-4.899990e-13	0.000000e+00	-2.499991e-13	4.899990e-13	0.000000e+00	-2.400000e-13
2.600000000000000e-01	2.600000e-01	0.000000e+00	-5.299995e-13	0.000000e+00	-2.699996e-13	5.299995e-13	0.000000e+00	-2.600000e-13
2.800000000000000e-01	2.800000e-01	0.000000e+00	-5.699998e-13	0.000000e+00	-2.899998e-13	5.699998e-13	0.000000e+00	-2.800000e-13
3.000000000000000e-01	3.000000e-01	0.000000e+00	-6.099999e-13	0.000000e+00	-3.099999e-13	6.099999e-13	0.000000e+00	-3.000000e-13
3.200000000000000e-01	3.200000e-01	0.000000e+00	-6.500000e-13	0.000000e+00	-3.300000e-13	6.500000e-13	0.000000e+00	-3.200000e-13
3.400000000000000e-01	3.400000e-01	0.000000e+00	-6.900000e-13	0.000000e+00	-3.500000e-13	6.900000e-13	0.000000e+00	-3.400000e-13
3.600000000000000e-01	3.600000e-01	0.000000e+00	-7.300000e-13	0.000000e+00	-3.700000e-13	7.300000e-13	0.000000e+00	-3.600000e-13
3.800000000000000e-01	3.800000e-01	0.000000e+00	-7.700000e-13	0.000000e+00	-3.900000e-13	7.700000e-13	0.000000e+00	-3.800000e-13
4.000000000000000e-01	4.000000e-01	0.000000e+00	-8.100000e-13	0.000000e+00	-4.100000e-13	8.100000e-13	0.000000e+00	-4.000000e-13
4.200000000000000e-01	4.200000e-01	0.000000e+00	-8.500000e-13	0.000000e+00	-4.300000e-13	8.500000e-13	0.000000e+00	-4.200000e-13
4.400000000000000e-01	4.400000e-01	0.000000e+00	-8.900000e-13	0.000000e+00	-4.500000e-13	8.900000e-13	0.000000e+00	-4.400000e-13
4.600000000000000e-01	4.600000e-01	0.000000e+00	-9.300000e-13	0.000000e+00	-4.700000e-13	9.300000e-13	0.000000e+00	-4.600000e-13
4.800000000000000e-01	4.800000e-01	0.000000e+00	-9.700000e-13	0.000000e+00	-4.900000e-13	9.700000e-13	0.000000e+00	-4.800000e-13
5.000000000000000e-01	5.000000e-01	0.000000e+00	-1.010000e-12	0.000000e+00	-5.100000e-13	1.010000e-12	0.000000e+00	-5.000000e-13
5.200000000000000e-01	5.200000e-01	0.000000e+00	-1.050000e-12	0.000000e+00	-5.300000e-13	1.050000e-12	0.000000e+00	-5.200000e-13
5.400000000000000e-01	5.400000e-01	0.000000e+00	-1.090000e-12	0.000000e+00	-5.500000e-13	1.090000e-12	0.000000e+00	-5.400000e-13
5.600000000000001e-01	5.600000e-01	0.000000e+00	-1.130000e-12	0.000000e+00	-5.700000e-13	1.130000e-12	0.000000e+00	-5.600000e-13
5.800000000000000e-01	5.800000e-01	0.000000e+00	-1.170000e-12	0.000000e+00	-5.900000e-13	1.170000e-12	0.000000e+00	-5.800000e-13
6.000000000000000e-01	6.000000e-01	0.000000e+00	-1.210000e-12	0.000000e+00	-6.100000e-13	1.210000e-12	0.000000e+00	-6.000000e-13
6.200000000000000e-01	6.200000e-01	0.000000e+00	-1.250000e-12	0.000000e+00	-6.300000e-13	1.250000e-12	0.000000e+00	-6.200000e-13
6.400000000000000e-01	6.400000e-01	0.000000e+00	-1.290000e-12	0.000000e+00	-6.500000e-13	1.290000e-12	0.000000e+00	-6.400000e-13
6.600000000000000e-01	6.600000e-01	0.000000e+00	-1.330000e-12	0.000000e+00	-6.700000e-13	1.330000e-12	0.000000e+00	-6.600000e-13
6.800000000000000e-01	6.800000e-01	0.000000e+00	-1.370000e-12	0.000000e+00	-6.900000e-13	1.370000e-12	0.000000e+00	-6.800000e-13
7.000000000000001e-01	7.000000e-01	0.000000e+00	-1.410000e-12	0.000000e+00	-7.100000e-13	1.410000e-12	0.000000e+00	-7.000000e-13
7.200000000000000e-01	7.200000e-01	0.000000e+00	-1.450000e-12	0.000000e+00	-7.300000e-13	1.450000e-12	0.000000e+00	-7.200000e-13
7.400000000000000e-01	7.400000e-01	0.000000e+00	-1.490000e-12	0.000000e+00	-7.500000e-13	1.490000e-12	0.000000e+00	-7.400000e-13
7.600000000000000e-01	7.600000e-01	0.000000e+00	-1.530000e-12	0.000000e+00	-7.700000e-13	1.530000e-12	0.000000e+00	-7.600000e-13
7.800000000000000e-01	7.800000e-01	0.000000e+00	-1.570000e-12	0.000000e+00	-7.900000e-13	1.570000e-12	0.000000e+00	-7.800000e-13
8.000000000000000e-01	8.000000e-01	0.000000e+00	-1.610000e-12	0.000000e+00	-8.100000e-13	1.610000e-12	0.000000e+00	-8.000000e-13
8.200000000000001e-01	8.200000e-01	0.000000e+00	-1.650000e-12	0.000000e+00	-8.300000e-13	1.650000e-12	0.000000e+00	-8.200000e-13
8.400000000000000e-01	8.400000e-01	0.000000e+00	-1.690000e-12	0.000000e+00	-8.500000e-13	1.690000e-12	0.000000e+00	-8.400000e-13
8.600000000000000e-01	8.600000e-01	0.000000e+00	-1.730000e-12	0.000000e+00	-8.700000e-13	1.730000e-12	0.000000e+00	-8.600000e-13
8.800000000000000e-01	8.800000e-01	0.000000e+00	-1.770000e-12	0.000000e+00	-8.900000e-13	1.770000e-12	0.000000e+00	-8.800000e-13
9.000000000000000e-01	9.000000e-01	0.000000e+00	-1.810000e-12	0.000000e+00	-9.100000e-13	1.810000e-12	0.000000e+00	-9.000000e-13
9.200000000000000e-01	9.200000e-01	0.000000e+00	-1.850000e-12	0.000000e+00	-9.300000e-13	1.850000e-12	0.000000e+00	-9.200000e-13
9.400000000000001e-01	9.400000e-01	0.000000e+00	-1.890000e-12	0.000000e+00	-9.500000e-13	1.890000e-12	0.000000e+00	-9.400000e-13
9.600000000000000e-01	9.600000e-01	0.000000e+00	-1.930000e-12	0.000000e+00	-9.700000e-13	1.930000e-12	0.000000e+00	-9.600000e-13
9.800000000000000e-01	9.800000e-01	0.000000e+00	-1.970000e-12	0.000000e+00	-9.900000e-13	1.970000e-12	0.000000e+00	-9.800000e-13
1.000000000000000e+00	1.000000e+00	0.000000e+00	-2.010000e-12	0.000000e+00	-1.010000e-12	2.010000e-12	0.000000e+00	-1.000000e-12
1.020000000000000e+00	1.020000e+00	0.000000e+00	-2.050000e-12	0.000000e+00	-1.030000e-12	2.050000e-12	0.000000e+00	-1.020000e-12
1.040000000000000e+00	1.040000e+00	0.000000e+00	-2.090000e-12	0.000000e+00	-1.050000e-12	2.090000e-12	0.000000e+00	-1.040000e-12
