Vdd	V(vdd)	V(vin)	I(Vdd)	I(Vin)	Ib(M1)	Id(M1)	Ig(M1)	Is(M1)
Step Information: Vin=0  (Step: 1/51)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00
1.000000000000000e-01	1.000000e-01	0.000000e+00	-2.097906e-13	0.000000e+00	-1.097906e-13	2.097906e-13	0.000000e+00	-1.000000e-13
2.000000000000000e-01	2.000000e-01	0.000000e+00	-4.099956e-13	0.000000e+00	-2.099956e-13	4.099956e-13	0.000000e+00	-2.000000e-13
3.000000000000000e-01	3.000000e-01	0.000000e+00	-6.099999e-13	0.000000e+00	-3.099999e-13	6.099999e-13	0.000000e+00	-3.000000e-13
4.000000000000000e-01	4.000000e-01	0.000000e+00	-8.100000e-13	0.000000e+00	-4.100000e-13	8.100000e-13	0.000000e+00	-4.000000e-13
5.000000000000000e-01	5.000000e-01	0.000000e+00	-1.010000e-12	0.000000e+00	-5.100000e-13	1.010000e-12	0.000000e+00	-5.000000e-13
6.000000000000001e-01	6.000000e-01	0.000000e+00	-1.210000e-12	0.000000e+00	-6.100000e-13	1.210000e-12	0.000000e+00	-6.000000e-13
7.000000000000001e-01	7.000000e-01	0.000000e+00	-1.410000e-12	0.000000e+00	-7.100000e-13	1.410000e-12	0.000000e+00	-7.000000e-13
8.000000000000000e-01	8.000000e-01	0.000000e+00	-1.610000e-12	0.000000e+00	-8.100000e-13	1.610000e-12	0.000000e+00	-8.000000e-13
9.000000000000000e-01	9.000000e-01	0.000000e+00	-1.810000e-12	0.000000e+00	-9.100000e-13	1.810000e-12	0.000000e+00	-9.000000e-13
1.000000000000000e+00	1.000000e+00	0.000000e+00	-2.010000e-12	0.000000e+00	-1.010000e-12	2.010000e-12	0.000000e+00	-1.000000e-12
1.100000000000000e+00	1.100000e+00	0.000000e+00	-2.210000e-12	0.000000e+00	-1.110000e-12	2.210000e-12	0.000000e+00	-1.100000e-12
1.200000000000000e+00	1.200000e+00	0.000000e+00	-2.410000e-12	0.000000e+00	-1.210000e-12	2.410000e-12	0.000000e+00	-1.200000e-12
1.300000000000000e+00	1.300000e+00	0.000000e+00	-2.610000e-12	0.000000e+00	-1.310000e-12	2.610000e-12	0.000000e+00	-1.300000e-12
1.400000000000000e+00	1.400000e+00	0.000000e+00	-2.810000e-12	0.000000e+00	-1.410000e-12	2.810000e-12	0.000000e+00	-1.400000e-12
1.500000000000000e+00	1.500000e+00	0.000000e+00	-3.010000e-12	0.000000e+00	-1.510000e-12	3.010000e-12	0.000000e+00	-1.500000e-12
1.600000000000000e+00	1.600000e+00	0.000000e+00	-3.210000e-12	0.000000e+00	-1.610000e-12	3.210000e-12	0.000000e+00	-1.600000e-12
1.700000000000000e+00	1.700000e+00	0.000000e+00	-3.410000e-12	0.000000e+00	-1.710000e-12	3.410000e-12	0.000000e+00	-1.700000e-12
1.800000000000000e+00	1.800000e+00	0.000000e+00	-3.610000e-12	0.000000e+00	-1.810000e-12	3.610000e-12	0.000000e+00	-1.800000e-12
1.900000000000000e+00	1.900000e+00	0.000000e+00	-3.810000e-12	0.000000e+00	-1.910000e-12	3.810000e-12	0.000000e+00	-1.900000e-12
2.000000000000000e+00	2.000000e+00	0.000000e+00	-4.010000e-12	0.000000e+00	-2.010000e-12	4.010000e-12	0.000000e+00	-2.000000e-12
2.100000000000000e+00	2.100000e+00	0.000000e+00	-4.210000e-12	0.000000e+00	-2.110000e-12	4.210000e-12	0.000000e+00	-2.100000e-12
2.200000000000000e+00	2.200000e+00	0.000000e+00	-4.410000e-12	0.000000e+00	-2.210000e-12	4.410000e-12	0.000000e+00	-2.200000e-12
2.300000000000000e+00	2.300000e+00	0.000000e+00	-4.610000e-12	0.000000e+00	-2.310000e-12	4.610000e-12	0.000000e+00	-2.300000e-12
2.400000000000000e+00	2.400000e+00	0.000000e+00	-4.810000e-12	0.000000e+00	-2.410000e-12	4.810000e-12	0.000000e+00	-2.400000e-12
2.500000000000000e+00	2.500000e+00	0.000000e+00	-5.010000e-12	0.000000e+00	-2.510000e-12	5.010000e-12	0.000000e+00	-2.500000e-12
2.600000000000000e+00	2.600000e+00	0.000000e+00	-5.210000e-12	0.000000e+00	-2.610000e-12	5.210000e-12	0.000000e+00	-2.600000e-12
2.700000000000000e+00	2.700000e+00	0.000000e+00	-5.410000e-12	0.000000e+00	-2.710000e-12	5.410000e-12	0.000000e+00	-2.700000e-12
2.800000000000000e+00	2.800000e+00	0.000000e+00	-5.610000e-12	0.000000e+00	-2.810000e-12	5.610000e-12	0.000000e+00	-2.800000e-12
2.900000000000000e+00	2.900000e+00	0.000000e+00	-5.810000e-12	0.000000e+00	-2.910000e-12	5.810000e-12	0.000000e+00	-2.900000e-12
3.000000000000000e+00	3.000000e+00	0.000000e+00	-6.010000e-12	0.000000e+00	-3.010000e-12	6.010000e-12	0.000000e+00	-3.000000e-12
3.100000000000000e+00	3.100000e+00	0.000000e+00	-6.210000e-12	0.000000e+00	-3.110000e-12	6.210000e-12	0.000000e+00	-3.100000e-12
3.200000000000000e+00	3.200000e+00	0.000000e+00	-6.410000e-12	0.000000e+00	-3.210000e-12	6.410000e-12	0.000000e+00	-3.200000e-12
3.300000000000000e+00	3.300000e+00	0.000000e+00	-6.610000e-12	0.000000e+00	-3.310000e-12	6.610000e-12	0.000000e+00	-3.300000e-12
3.400000000000000e+00	3.400000e+00	0.000000e+00	-6.810000e-12	0.000000e+00	-3.410000e-12	6.810000e-12	0.000000e+00	-3.400000e-12
3.500000000000000e+00	3.500000e+00	0.000000e+00	-7.010000e-12	0.000000e+00	-3.510000e-12	7.010000e-12	0.000000e+00	-3.500000e-12
3.600000000000000e+00	3.600000e+00	0.000000e+00	-7.210000e-12	0.000000e+00	-3.610000e-12	7.210000e-12	0.000000e+00	-3.600000e-12
3.700000000000000e+00	3.700000e+00	0.000000e+00	-7.410000e-12	0.000000e+00	-3.710000e-12	7.410000e-12	0.000000e+00	-3.700000e-12
3.800000000000000e+00	3.800000e+00	0.000000e+00	-7.610000e-12	0.000000e+00	-3.810000e-12	7.610000e-12	0.000000e+00	-3.800000e-12
3.900000000000000e+00	3.900000e+00	0.000000e+00	-7.810000e-12	0.000000e+00	-3.910000e-12	7.810000e-12	0.000000e+00	-3.900000e-12
4.000000000000000e+00	4.000000e+00	0.000000e+00	-8.010000e-12	0.000000e+00	-4.010000e-12	8.010000e-12	0.000000e+00	-4.000000e-12
4.100000000000001e+00	4.100000e+00	0.000000e+00	-8.210000e-12	0.000000e+00	-4.110000e-12	8.210000e-12	0.000000e+00	-4.100000e-12
4.200000000000000e+00	4.200000e+00	0.000000e+00	-8.410000e-12	0.000000e+00	-4.210000e-12	8.410000e-12	0.000000e+00	-4.200000e-12
4.300000000000000e+00	4.300000e+00	0.000000e+00	-8.610000e-12	0.000000e+00	-4.310000e-12	8.610000e-12	0.000000e+00	-4.300000e-12
4.400000000000000e+00	4.400000e+00	0.000000e+00	-8.810000e-12	0.000000e+00	-4.410000e-12	8.810000e-12	0.000000e+00	-4.400000e-12
4.500000000000000e+00	4.500000e+00	0.000000e+00	-9.010000e-12	0.000000e+00	-4.510000e-12	9.010000e-12	0.000000e+00	-4.500000e-12
4.600000000000001e+00	4.600000e+00	0.000000e+00	-9.210000e-12	0.000000e+00	-4.610000e-12	9.210000e-12	0.000000e+00	-4.600000e-12
4.700000000000000e+00	4.700000e+00	0.000000e+00	-9.410000e-12	0.000000e+00	-4.710000e-12	9.410000e-12	0.000000e+00	-4.700000e-12
4.800000000000001e+00	4.800000e+00	0.000000e+00	-9.610000e-12	0.000000e+00	-4.810000e-12	9.610000e-12	0.000000e+00	-4.800000e-12
4.900000000000000e+00	4.900000e+00	0.000000e+00	-9.810000e-12	0.000000e+00	-4.910000e-12	9.810000e-12	0.000000e+00	-4.900000e-12
5.000000000000000e+00	5.000000e+00	0.000000e+00	-1.001000e-11	0.000000e+00	-5.010000e-12	1.001000e-11	0.000000e+00	-5.000000e-12
5.100000000000001e+00	5.100000e+00	0.000000e+00	-1.021000e-11	0.000000e+00	-5.110000e-12	1.021000e-11	0.000000e+00	-5.100000e-12
5.200000000000000e+00	5.200000e+00	0.000000e+00	-1.041000e-11	0.000000e+00	-5.210000e-12	1.041000e-11	0.000000e+00	-5.200000e-12
5.300000000000001e+00	5.300000e+00	0.000000e+00	-1.061000e-11	0.000000e+00	-5.310000e-12	1.061000e-11	0.000000e+00	-5.300000e-12
5.400000000000000e+00	5.400000e+00	0.000000e+00	-1.081000e-11	0.000000e+00	-5.410000e-12	1.081000e-11	0.000000e+00	-5.400000e-12
5.500000000000000e+00	5.500000e+00	0.000000e+00	-1.101000e-11	0.000000e+00	-5.510000e-12	1.101000e-11	0.000000e+00	-5.500000e-12
5.600000000000001e+00	5.600000e+00	0.000000e+00	-1.121000e-11	0.000000e+00	-5.610000e-12	1.121000e-11	0.000000e+00	-5.600000e-12
5.700000000000000e+00	5.700000e+00	0.000000e+00	-1.141000e-11	0.000000e+00	-5.710000e-12	1.141000e-11	0.000000e+00	-5.700000e-12
5.800000000000001e+00	5.800000e+00	0.000000e+00	-1.161000e-11	0.000000e+00	-5.810000e-12	1.161000e-11	0.000000e+00	-5.800000e-12
5.900000000000000e+00	5.900000e+00	0.000000e+00	-1.181000e-11	0.000000e+00	-5.910000e-12	1.181000e-11	0.000000e+00	-5.900000e-12
6.000000000000000e+00	6.000000e+00	0.000000e+00	-1.201000e-11	0.000000e+00	-6.010000e-12	1.201000e-11	0.000000e+00	-6.000000e-12
Step Information: Vin=100m  (Step: 2/51)
0.000000000000000e+00	0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00
1.000000000000000e-01	1.000000e-01	1.000000e-01	-1.000002e-07	0.000000e+00	-1.097906e-13	1.000002e-07	0.000000e+00	-1.000001e-07
2.000000000000000e-01	2.000000e-01	1.000000e-01	-1.000004e-07	0.000000e+00	-2.099956e-13	1.000004e-07	0.000000e+00	-1.000002e-07
3.000000000000000e-01	3.000000e-01	1.000000e-01	-1.000006e-07	0.000000e+00	-3.099999e-13	1.000006e-07	0.000000e+00	-1.000003e-07
4.000000000000000e-01	4.000000e-01	1.000000e-01	-1.000008e-07	0.000000e+00	-4.100000e-13	1.000008e-07	0.000000e+00	-1.000004e-07
5.000000000000000e-01	5.000000e-01	1.000000e-01	-1.000010e-07	0.000000e+00	-5.100000e-13	1.000010e-07	0.000000e+00	-1.000005e-07
6.000000000000001e-01	6.000000e-01	1.000000e-01	-1.000012e-07	0.000000e+00	-6.100000e-13	1.000012e-07	0.000000e+00	-1.000006e-07
7.000000000000001e-01	7.000000e-01	1.000000e-01	-1.000014e-07	0.000000e+00	-7.100000e-13	1.000014e-07	0.000000e+00	-1.000007e-07
8.000000000000000e-01	8.000000e-01	1.000000e-01	-1.000016e-07	0.000000e+00	-8.100000e-13	1.000016e-07	0.000000e+00	-1.000008e-07
9.000000000000000e-01	9.000000e-01	1.000000e-01	-1.000018e-07	0.000000e+00	-9.100000e-13	1.000018e-07	0.000000e+00	-1.000009e-07
1.000000000000000e+00	1.000000e+00	1.000000e-01	-1.000020e-07	0.000000e+00	-1.010000e-12	1.000020e-07	0.000000e+00	-1.000010e-07
1.100000000000000e+00	1.100000e+00	1.000000e-01	-1.000022e-07	0.000000e+00	-1.110000e-12	1.000022e-07	0.000000e+00	-1.000011e-07
1.200000000000000e+00	1.200000e+00	1.000000e-01	-1.000024e-07	0.000000e+00	-1.210000e-12	1.000024e-07	0.000000e+00	-1.000012e-07
1.300000000000000e+00	1.300000e+00	1.000000e-01	-1.000026e-07	0.000000e+00	-1.310000e-12	1.000026e-07	0.000000e+00	-1.000013e-07
1.400000000000000e+00	1.400000e+00	1.000000e-01	-1.000028e-07	0.000000e+00	-1.410000e-12	1.000028e-07	0.000000e+00	-1.000014e-07
1.500000000000000e+00	1.500000e+00	1.000000e-01	-1.000030e-07	0.000000e+00	-1.510000e-12	1.000030e-07	0.000000e+00	-1.000015e-07
1.600000000000000e+00	1.600000e+00	1.000000e-01	-1.000032e-07	0.000000e+00	-1.610000e-12	1.000032e-07	0.000000e+00	-1.000016e-07
1.700000000000000e+00	1.700000e+00	1.000000e-01	-1.000034e-07	0.000000e+00	-1.710000e-12	1.000034e-07	0.000000e+00	-1.000017e-07
1.800000000000000e+00	1.800000e+00	1.000000e-01	-1.000036e-07	0.000000e+00	-1.810000e-12	1.000036e-07	0.000000e+00	-1.000018e-07
1.900000000000000e+00	1.900000e+00	1.000000e-01	-1.000038e-07	0.000000e+00	-1.910000e-12	1.000038e-07	0.000000e+00	-1.000019e-07
2.000000000000000e+00	2.000000e+00	1.000000e-01	-1.000040e-07	0.000000e+00	-2.010000e-12	1.000040e-07	0.000000e+00	-1.000020e-07
2.100000000000000e+00	2.100000e+00	1.000000e-01	-1.000042e-07	0.000000e+00	-2.110000e-12	1.000042e-07	0.000000e+00	-1.000021e-07
2.200000000000000e+00	2.200000e+00	1.000000e-01	-1.000044e-07	0.000000e+00	-2.210000e-12	1.000044e-07	0.000000e+00	-1.000022e-07
2.300000000000000e+00	2.300000e+00	1.000000e-01	-1.000046e-07	0.000000e+00	-2.310000e-12	1.000046e-07	0.000000e+00	-1.000023e-07
2.400000000000000e+00	2.400000e+00	1.000000e-01	-1.000048e-07	0.000000e+00	-2.410000e-12	1.000048e-07	0.000000e+00	-1.000024e-07
2.500000000000000e+00	2.500000e+00	1.000000e-01	-1.000050e-07	0.000000e+00	-2.510000e-12	1.000050e-07	0.000000e+00	-1.000025e-07
2.600000000000000e+00	2.600000e+00	1.000000e-01	-1.000052e-07	0.000000e+00	-2.610000e-12	1.000052e-07	0.000000e+00	-1.000026e-07
2.700000000000000e+00	2.700000e+00	1.000000e-01	-1.000054e-07	0.000000e+00	-2.710000e-12	1.000054e-07	0.000000e+00	-1.000027e-07
2.800000000000000e+00	2.800000e+00	1.000000e-01	-1.000056e-07	0.000000e+00	-2.810000e-12	1.000056e-07	0.000000e+00	-1.000028e-07
2.900000000000000e+00	2.900000e+00	1.000000e-01	-1.000058e-07	0.000000e+00	-2.910000e-12	1.000058e-07	0.000000e+00	-1.000029e-07
3.000000000000000e+00	3.000000e+00	1.000000e-01	-1.000060e-07	0.000000e+00	-3.010000e-12	1.000060e-07	0.000000e+00	-1.000030e-07
